ACTIVITY,Name,Alphabet
180207,Travel,k
180208,Travel,k
180209,Travel,k
180299,Travel,k
180381,Travel,k
170301,Travel,k
180301,Travel,k
180302,Travel,k
180303,Travel,k
180382,Travel,k
170302,Travel,k
180304,Travel,k
180305,Travel,k
180306,Travel,k
180399,Travel,k
170399,Travel,k
180481,Travel,k
170401,Travel,k
180401,Travel,k
180402,Travel,k
180403,Travel,k
180482,Travel,k
170402,Travel,k
180404,Travel,k
180405,Travel,k
180406,Travel,k
180499,Travel,k
170499,Travel,k
170501,Travel,k
180501,Travel,k
180502,Travel,k
170502,Travel,k
180589,Travel,k
170503,Travel,k
170504,Travel,k
170599,Travel,k
180503,Travel,k
180504,Travel,k
180599,Travel,k
180601,Travel,k
170601,Travel,k
180682,Travel,k
170602,Travel,k
180602,Travel,k
180603,Travel,k
180604,Travel,k
180699,Travel,k
170699,Travel,k
180701,Travel,k
170701,Travel,k
180782,Travel,k
170702,Travel,k
170799,Travel,k
170703,Travel,k
180702,Travel,k
180703,Travel,k
180704,Travel,k
180705,Travel,k
180799,Travel,k
180801,Travel,k
170801,Travel,k
180802,Travel,k
170802,Travel,k
180803,Travel,k
170803,Travel,k
180804,Travel,k
170804,Travel,k
180805,Travel,k
170805,Travel,k
180806,Travel,k
170806,Travel,k
180807,Travel,k
170807,Travel,k
180899,Travel,k
170899,Travel,k
180901,Travel,k
170901,Travel,k
180902,Travel,k
170902,Travel,k
180903,Travel,k
170903,Travel,k
180904,Travel,k
170904,Travel,k
180905,Travel,k
170905,Travel,k
180999,Travel,k
170999,Travel,k
181081,Travel,k
171001,Travel,k
171002,Travel,k
171003,Travel,k
181001,Travel,k
181002,Travel,k
171004,Travel,k
181099,Travel,k
171099,Travel,k
181101,Travel,k
171101,Travel,k
181199,Travel,k
171199,Travel,k
181201,Travel,k
171201,Travel,k
181202,Travel,k
171202,Travel,k
181283,Travel,k
171203,Travel,k
181203,Travel,k
181205,Travel,k
181206,Travel,k
181204,Travel,k
171204,Travel,k
181299,Travel,k
171299,Travel,k
181301,Travel,k
171301,Travel,k
181302,Travel,k
171302,Travel,k
181399,Travel,k
181401,Travel,k
171401,Travel,k
181499,Travel,k
171499,Travel,k
181501,Travel,k
171501,Travel,k
181599,Travel,k
171599,Travel,k
181601,Travel,k
171601,Travel,k
181699,Travel,k
171699,Travel,k
181801,Travel,k
171701,Travel,k
181899,Travel,k
171799,Travel,k
189999,Travel,k
179999,Travel,k
500101,Sleep,a
500103,Sleep,a
500104,Sleep,a
500105,Sleep,a
500106,Sleep,a
500107,Sleep,a
509989,Sleep,a
500102,Sleep,a
509999,Sleep,a
